formation_id,index,slot,raw_record,x_code,y_code,world_x,world_y,class_code,class_name,strategy_raw,strategy_name
1,0,m30,111633,11,16,1437,576,3,武将,3,守備
1,1,m31,181411,18,14,1185,504,1,足軽,1,突撃
1,2,m32,181711,18,17,1185,612,1,足軽,1,突撃
1,3,m33,071524,7,15,1581,540,2,弓兵,4,待機
1,4,m34,122018,12,20,1401,720,1,足軽,8,迎撃
1,5,m35,071724,7,17,1581,612,2,弓兵,4,待機
1,6,m36,121218,12,12,1401,432,1,足軽,8,迎撃
1,7,m37,191311,19,13,1149,468,1,足軽,1,突撃
1,8,m38,191811,19,18,1149,648,1,足軽,1,突撃
1,9,m39,201911,20,19,1113,684,1,足軽,1,突撃
1,10,m40,141624,14,16,1329,576,2,弓兵,4,待機
1,11,m41,141523,14,15,1329,540,2,弓兵,3,守備
1,12,m42,141723,14,17,1329,612,2,弓兵,3,守備
1,13,m43,081424,8,14,1545,504,2,弓兵,4,待機
1,14,m44,081824,8,18,1545,648,2,弓兵,4,待機
1,15,m45,171331,17,13,1221,468,3,武将,1,突撃
1,16,m46,201211,20,12,1113,432,1,足軽,1,突撃
1,17,m47,171931,17,19,1221,684,3,武将,1,突撃
1,18,m48,201640,20,16,1113,576,4,猛者,0,乱戦
1,19,m49,211440,21,14,1077,504,4,猛者,0,乱戦
1,20,m50,161458,16,14,1257,504,5,軍師,8,迎撃
1,21,m51,121358,12,13,1401,468,5,軍師,8,迎撃
1,22,m52,161858,16,18,1257,648,5,軍師,8,迎撃
1,23,m53,191071,19,10,1149,360,7,忍者,1,突撃
1,24,m54,192371,19,23,1149,828,7,忍者,1,突撃
1,25,m55,171164,17,11,1221,396,6,鉄砲,4,待機
1,26,m56,172264,17,22,1221,792,6,鉄砲,4,待機
1,27,m57,121958,12,19,1401,684,5,軍師,8,迎撃
1,28,m58,201540,20,15,1113,540,4,猛者,0,乱戦
1,29,m59,211740,21,17,1077,612,4,猛者,0,乱戦
2,0,m30,131338,13,13,1365,468,3,武将,8,迎撃
2,1,m31,071523,7,15,1581,540,2,弓兵,3,守備
2,2,m32,091413,9,14,1509,504,1,足軽,3,守備
2,3,m33,071623,7,16,1581,576,2,弓兵,3,守備
2,4,m34,091613,9,16,1509,576,1,足軽,3,守備
2,5,m35,111718,11,17,1437,612,1,足軽,8,迎撃
2,6,m36,071723,7,17,1581,612,2,弓兵,3,守備
2,7,m37,132038,13,20,1365,720,3,武将,8,迎撃
2,8,m38,161511,16,15,1257,540,1,足軽,1,突撃
2,9,m39,161311,16,13,1257,468,1,足軽,1,突撃
2,10,m40,171120,17,11,1221,396,2,弓兵,0,乱戦
2,11,m41,172223,17,22,1221,792,2,弓兵,3,守備
2,12,m42,200771,20,7,1113,252,7,忍者,1,突撃
2,13,m43,192771,19,27,1149,972,7,忍者,1,突撃
2,14,m44,151258,15,12,1293,432,5,軍師,8,迎撃
2,15,m45,152058,15,20,1293,720,5,軍師,8,迎撃
2,16,m46,091813,9,18,1509,648,1,足軽,3,守備
2,17,m47,182871,18,28,1185,1008,7,忍者,1,突撃
2,18,m48,161711,16,17,1257,612,1,足軽,1,突撃
2,19,m49,161911,16,19,1257,684,1,足軽,1,突撃
2,20,m50,210871,21,8,1077,288,7,忍者,1,突撃
2,21,m51,190671,19,6,1149,216,7,忍者,1,突撃
2,22,m52,180571,18,5,1185,180,7,忍者,1,突撃
2,23,m53,141564,14,15,1329,540,6,鉄砲,4,待機
2,24,m54,111518,11,15,1437,540,1,足軽,8,迎撃
2,25,m55,181440,18,14,1185,504,4,猛者,0,乱戦
2,26,m56,141764,14,17,1329,612,6,鉄砲,4,待機
2,27,m57,202671,20,26,1113,936,7,忍者,1,突撃
2,28,m58,212571,21,25,1077,900,7,忍者,1,突撃
2,29,m59,181840,18,18,1185,648,4,猛者,0,乱戦
3,0,m30,071514,7,15,1581,540,1,足軽,4,待機
3,1,m31,071614,7,16,1581,576,1,足軽,4,待機
3,2,m32,071714,7,17,1581,612,1,足軽,4,待機
3,3,m33,091613,9,16,1509,576,1,足軽,3,守備
3,4,m34,081423,8,14,1545,504,2,弓兵,3,守備
3,5,m35,081823,8,18,1545,648,2,弓兵,3,守備
3,6,m36,091323,9,13,1509,468,2,弓兵,3,守備
3,7,m37,091923,9,19,1509,684,2,弓兵,3,守備
3,8,m38,131413,13,14,1365,504,1,足軽,3,守備
3,9,m39,131913,13,19,1365,684,1,足軽,3,守備
3,10,m40,131313,13,13,1365,468,1,足軽,3,守備
3,11,m41,101223,10,12,1473,432,2,弓兵,3,守備
3,12,m42,141753,14,17,1329,612,5,軍師,3,守備
3,13,m43,131813,13,18,1365,648,1,足軽,3,守備
3,14,m44,111333,11,13,1437,468,3,武将,3,守備
3,15,m45,111633,11,16,1437,576,3,武将,3,守備
3,16,m46,111933,11,19,1437,684,3,武将,3,守備
3,17,m47,200971,20,9,1113,324,7,忍者,1,突撃
3,18,m48,102023,10,20,1473,720,2,弓兵,3,守備
3,19,m49,202371,20,23,1113,828,7,忍者,1,突撃
3,20,m50,201440,20,14,1113,504,4,猛者,0,乱戦
3,21,m51,201540,20,15,1113,540,4,猛者,0,乱戦
3,22,m52,201640,20,16,1113,576,4,猛者,0,乱戦
3,23,m53,201740,20,17,1113,612,4,猛者,0,乱戦
3,24,m54,201840,20,18,1113,648,4,猛者,0,乱戦
3,25,m55,201940,20,19,1113,684,4,猛者,0,乱戦
3,26,m56,201340,20,13,1113,468,4,猛者,0,乱戦
3,27,m57,202040,20,20,1113,720,4,猛者,0,乱戦
3,28,m58,141664,14,16,1329,576,6,鉄砲,4,待機
3,29,m59,141553,14,15,1329,540,5,軍師,3,守備
4,0,m30,111633,11,16,1437,576,3,武将,3,守備
4,1,m31,111113,11,11,1437,396,1,足軽,3,守備
4,2,m32,091923,9,19,1509,684,2,弓兵,3,守備
4,3,m33,091613,9,16,1509,576,1,足軽,3,守備
4,4,m34,101513,10,15,1473,540,1,足軽,3,守備
4,5,m35,101713,10,17,1473,612,1,足軽,3,守備
4,6,m36,121213,12,12,1401,432,1,足軽,3,守備
4,7,m37,081723,8,17,1545,612,2,弓兵,3,守備
4,8,m38,112113,11,21,1437,756,1,足軽,3,守備
4,9,m39,141624,14,16,1329,576,2,弓兵,4,待機
4,10,m40,071624,7,16,1581,576,2,弓兵,4,待機
4,11,m41,081423,8,14,1545,504,2,弓兵,3,守備
4,12,m42,081823,8,18,1545,648,2,弓兵,3,守備
4,13,m43,071324,7,13,1581,468,2,弓兵,4,待機
4,14,m44,071924,7,19,1581,684,2,弓兵,4,待機
4,15,m45,111333,11,13,1437,468,3,武将,3,守備
4,16,m46,081523,8,15,1545,540,2,弓兵,3,守備
4,17,m47,111933,11,19,1437,684,3,武将,3,守備
4,18,m48,181671,18,16,1185,576,7,忍者,1,突撃
4,19,m49,211440,21,14,1077,504,4,猛者,0,乱戦
4,20,m50,141524,14,15,1329,540,2,弓兵,4,待機
4,21,m51,121353,12,13,1401,468,5,軍師,3,守備
4,22,m52,141724,14,17,1329,612,2,弓兵,4,待機
4,23,m53,091323,9,13,1509,468,2,弓兵,3,守備
4,24,m54,122013,12,20,1401,720,1,足軽,3,守備
4,25,m55,071564,7,15,1581,540,6,鉄砲,4,待機
4,26,m56,071764,7,17,1581,612,6,鉄砲,4,待機
4,27,m57,121953,12,19,1401,684,5,軍師,3,守備
4,28,m58,181571,18,15,1185,540,7,忍者,1,突撃
4,29,m59,211740,21,17,1077,612,4,猛者,0,乱戦
